"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2018","2018","Alabama","01",967,4887871,19.8,21.3
,"2018","2018","Alaska","02",129,737438,17.5,17.1
,"2018","2018","Arizona","04",1893,7171646,26.4,27.5
,"2018","2018","Arkansas","05",565,3013825,18.7,20.3
,"2018","2018","California","06",6346,39557045,16.0,15.7
,"2018","2018","Colorado","08",1153,5695564,20.2,20.1
,"2018","2018","Connecticut","09",1151,3572665,32.2,33.9
,"2018","2018","Delaware","10",429,967171,44.4,47.5
,"2018","2018","District of Columbia","11",285,702455,40.6,39.7
,"2018","2018","Florida","12",5398,21299325,25.3,27.1
,"2018","2018","Georgia","13",1870,10519475,17.8,18.3
,"2018","2018","Hawaii","15",269,1420491,18.9,18.8
,"2018","2018","Idaho","16",305,1754208,17.4,18.0
,"2018","2018","Illinois","17",3233,12741080,25.4,26.1
,"2018","2018","Indiana","18",1901,6691878,28.4,30.3
,"2018","2018","Iowa","19",367,3156145,11.6,12.5
,"2018","2018","Kansas","20",452,2911505,15.5,16.5
,"2018","2018","Kentucky","21",1433,4468402,32.1,33.9
,"2018","2018","Louisiana","22",1350,4659978,29.0,30.3
,"2018","2018","Maine","23",376,1338404,28.1,31.4
,"2018","2018","Maryland","24",2579,6042718,42.7,42.2
,"2018","2018","Massachusetts","25",2416,6902149,35.0,36.2
,"2018","2018","Michigan","26",2936,9995915,29.4,31.0
,"2018","2018","Minnesota","27",800,5611179,14.3,14.8
,"2018","2018","Mississippi","28",450,2986530,15.1,16.2
,"2018","2018","Missouri","29",1817,6126452,29.7,31.4
,"2018","2018","Montana","30",150,1062305,14.1,15.0
,"2018","2018","Nebraska","31",215,1929268,11.1,11.5
,"2018","2018","Nevada","32",782,3034392,25.8,24.8
,"2018","2018","New Hampshire","33",477,1356458,35.2,38.6
,"2018","2018","New Jersey","34",3112,8908520,34.9,36.0
,"2018","2018","New Mexico","35",604,2095428,28.8,30.6
,"2018","2018","New York","36",4219,19542209,21.6,21.6
,"2018","2018","North Carolina","37",2660,10383620,25.6,27.1
,"2018","2018","North Dakota","38",96,760077,12.6,13.5
,"2018","2018","Ohio","39",4444,11689442,38.0,40.7
,"2018","2018","Oklahoma","40",864,3943079,21.9,22.4
,"2018","2018","Oregon","41",628,4190713,15.0,15.0
,"2018","2018","Pennsylvania","42",4844,12807060,37.8,40.5
,"2018","2018","Rhode Island","44",352,1057315,33.3,34.7
,"2018","2018","South Carolina","45",1326,5084127,26.1,27.6
,"2018","2018","South Dakota","46",80,882235,9.1,9.5
,"2018","2018","Tennessee","47",2085,6770010,30.8,32.0
,"2018","2018","Texas","48",4025,28701845,14.0,14.0
,"2018","2018","Utah","49",758,3161105,24.0,24.9
,"2018","2018","Vermont","50",171,626299,27.3,30.9
,"2018","2018","Virginia","51",1727,8517685,20.3,21.0
,"2018","2018","Washington","53",1357,7535591,18.0,17.7
,"2018","2018","West Virginia","54",903,1805832,50.0,55.1
,"2018","2018","Wisconsin","55",1259,5813568,21.7,23.1
,"2018","2018","Wyoming","56",77,577737,13.3,13.3
"Total","2018","2018",,,78085,327167434,23.9,24.5
,"2019","2019","Alabama","01",953,4903185,19.4,20.8
,"2019","2019","Alaska","02",144,731545,19.7,19.4
,"2019","2019","Arizona","04",2090,7278717,28.7,29.9
,"2019","2019","Arkansas","05",502,3017804,16.6,17.9
,"2019","2019","California","06",7152,39512223,18.1,17.8
,"2019","2019","Colorado","08",1237,5758736,21.5,21.4
,"2019","2019","Connecticut","09",1296,3565287,36.4,37.9
,"2019","2019","Delaware","10",473,973764,48.6,53.0
,"2019","2019","District of Columbia","11",333,705749,47.2,46.4
,"2019","2019","Florida","12",5984,21477737,27.9,30.0
,"2019","2019","Georgia","13",1888,10617423,17.8,18.3
,"2019","2019","Hawaii","15",289,1415872,20.4,19.8
,"2019","2019","Idaho","16",307,1787065,17.2,17.7
,"2019","2019","Illinois","17",3218,12671821,25.4,26.0
