year,state,deaths,population,crude_rate,age_adjusted_rate
2018,Alabama,967.0,4887871.0,19.8,21.3
2018,Alaska,129.0,737438.0,17.5,17.1
2018,Arizona,1893.0,7171646.0,26.4,27.5
2018,Arkansas,565.0,3013825.0,18.7,20.3
2018,California,6346.0,39557045.0,16.0,15.7
2018,Colorado,1153.0,5695564.0,20.2,20.1
2018,Connecticut,1151.0,3572665.0,32.2,33.9
2018,Delaware,429.0,967171.0,44.4,47.5
2018,District of Columbia,285.0,702455.0,40.6,39.7
2018,Florida,5398.0,21299325.0,25.3,27.1
2018,Georgia,1870.0,10519475.0,17.8,18.3
2018,Hawaii,269.0,1420491.0,18.9,18.8
2018,Idaho,305.0,1754208.0,17.4,18.0
2018,Illinois,3233.0,12741080.0,25.4,26.1
2018,Indiana,1901.0,6691878.0,28.4,30.3
2018,Iowa,367.0,3156145.0,11.6,12.5
2018,Kansas,452.0,2911505.0,15.5,16.5
2018,Kentucky,1433.0,4468402.0,32.1,33.9
2018,Louisiana,1350.0,4659978.0,29.0,30.3
2018,Maine,376.0,1338404.0,28.1,31.4
2018,Maryland,2579.0,6042718.0,42.7,42.2
2018,Massachusetts,2416.0,6902149.0,35.0,36.2
2018,Michigan,2936.0,9995915.0,29.4,31.0
2018,Minnesota,800.0,5611179.0,14.3,14.8
2018,Mississippi,450.0,2986530.0,15.1,16.2
2018,Missouri,1817.0,6126452.0,29.7,31.4
2018,Montana,150.0,1062305.0,14.1,15.0
2018,Nebraska,215.0,1929268.0,11.1,11.5
2018,Nevada,782.0,3034392.0,25.8,24.8
2018,New Hampshire,477.0,1356458.0,35.2,38.6
2018,New Jersey,3112.0,8908520.0,34.9,36.0
2018,New Mexico,604.0,2095428.0,28.8,30.6
2018,New York,4219.0,19542209.0,21.6,21.6
2018,North Carolina,2660.0,10383620.0,25.6,27.1
2018,North Dakota,96.0,760077.0,12.6,13.5
2018,Ohio,4444.0,11689442.0,38.0,40.7
2018,Oklahoma,864.0,3943079.0,21.9,22.4
2018,Oregon,628.0,4190713.0,15.0,15.0
2018,Pennsylvania,4844.0,12807060.0,37.8,40.5
2018,Rhode Island,352.0,1057315.0,33.3,34.7
2018,South Carolina,1326.0,5084127.0,26.1,27.6
2018,South Dakota,80.0,882235.0,9.1,9.5
2018,Tennessee,2085.0,6770010.0,30.8,32.0
2018,Texas,4025.0,28701845.0,14.0,14.0
2018,Utah,758.0,3161105.0,24.0,24.9
2018,Vermont,171.0,626299.0,27.3,30.9
2018,Virginia,1727.0,8517685.0,20.3,21.0
2018,Washington,1357.0,7535591.0,18.0,17.7
2018,West Virginia,903.0,1805832.0,50.0,55.1
2018,Wisconsin,1259.0,5813568.0,21.7,23.1
2018,Wyoming,77.0,577737.0,13.3,13.3
2019,Alabama,953.0,4903185.0,19.4,20.8
2019,Alaska,144.0,731545.0,19.7,19.4
2019,Arizona,2090.0,7278717.0,28.7,29.9
2019,Arkansas,502.0,3017804.0,16.6,17.9
2019,California,7152.0,39512223.0,18.1,17.8
2019,Colorado,1237.0,5758736.0,21.5,21.4
2019,Connecticut,1296.0,3565287.0,36.4,37.9
2019,Delaware,473.0,973764.0,48.6,53.0
2019,District of Columbia,333.0,705749.0,47.2,46.4
2019,Florida,5984.0,21477737.0,27.9,30.0
2019,Georgia,1888.0,10617423.0,17.8,18.3
